DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
58   [[ 0.          0.00257579]]
59   [[ 0.          0.00257094]]
60   [[ 0.          0.00256536]]
61   [[ 0.          0.00255843]]
62   [[ 0.          0.00254969]]
63   [[ 0.          0.00253884]]
64   [[ 0.          0.00252573]]
65   [[ 0.          0.00251027]]
66   [[ 0.          0.00249246]]
67   [[ 0.          0.00247235]]
68   [[ 0.          0.00245003]]
69   [[ 0.          0.00242561]]
70   [[ 0.          0.00239923]]
71   [[ 0.          0.00237104]]
72   [[ 0.         0.0023412]]
73   [[ 0.          0.00231932]]
74   [[ 0.          0.00230491]]
75   [[ 0.          0.00229637]]
76   [[ 0.          0.00229209]]
77   [[ 0.          0.00229069]]
78   [[ 0.          0.00229105]]
79   [[ 0.          0.00229224]]
80   [[ 0.          0.00229356]]
81   [[ 0.          0.00229443]]
82   [[ 0.          0.00229443]]
83   [[ 0.          0.00229322]]
84   [[ 0.          0.00229057]]
85   [[ 0.          0.00228632]]
86   [[ 0.          0.00228036]]
87   [[ 0.          0.00227264]]
88   [[ 0.          0.00226315]]
89   [[ 0.          0.00225188]]
90   [[ 0.         0.0022389]]
91   [[ 0.          0.00222425]]
92   [[ 0.          0.00220801]]
93   [[ 0.          0.00219025]]
94   [[ 0.          0.00217108]]
95   [[ 0.          0.00215059]]
96   [[ 0.          0.00212887]]
97   [[ 0.          0.00210603]]
