DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
100 [  4.62425330e-05] [  4.21119167e-05] [  4.62425330e-05]
101 [  4.50850580e-05] [  4.14052831e-05] [  4.50850580e-05]
102 [  4.17303085e-05] [  3.87562720e-05] [  4.17303085e-05]
103 [  4.11712138e-05] [  3.83141776e-05] [  4.11712138e-05]
104 [  4.12581145e-05] [  3.83810520e-05] [  4.12581145e-05]
105 [  4.47100192e-05] [  4.08823440e-05] [  4.47100192e-05]
106 [  4.39332581e-05] [  4.04280869e-05] [  4.39332581e-05]
107 [  4.11567620e-05] [  3.82242879e-05] [  4.11567620e-05]
108 [  4.06472914e-05] [  3.78106390e-05] [  4.06472914e-05]
109 [  4.32798397e-05] [  3.97155199e-05] [  4.32798397e-05]
110 [  3.68243621e-05] [  3.43154421e-05] [  3.68243621e-05]
111 [  4.62397370e-05] [  4.21799179e-05] [  4.62397370e-05]
112 [  4.13650927e-05] [  3.83094474e-05] [  4.13650927e-05]
113 [  4.02519123e-05] [  3.74099253e-05] [  4.02519123e-05]
114 [  4.00784827e-05] [  3.72530793e-05] [  4.00784827e-05]
115 [  4.20054866e-05] [  3.86371990e-05] [  4.20054866e-05]
116 [  4.12203486e-05] [  3.80668813e-05] [  4.12203486e-05]
117 [  3.99511914e-05] [  3.70445489e-05] [  3.99511914e-05]
118 [  3.97024111e-05] [  3.68284215e-05] [  3.97024111e-05]
119 [  3.96924560e-05] [  3.68012483e-05] [  3.96924560e-05]
120 [  4.11127085e-05] [  3.78169312e-05] [  4.11127085e-05]
121 [  4.05048443e-05] [  3.73663226e-05] [  4.05048443e-05]
122 [  3.95811853e-05] [  3.66178186e-05] [  3.95811853e-05]
123 [  3.93756365e-05] [  3.64367500e-05] [  3.93756365e-05]
124 [  3.93395794e-05] [  3.63897656e-05] [  3.93395794e-05]
125 [  4.03183824e-05] [  3.70831318e-05] [  4.03183824e-05]
126 [  3.98450147e-05] [  3.67219674e-05] [  3.98450147e-05]
127 [  3.92229716e-05] [  3.62131010e-05] [  3.92229716e-05]
128 [  3.90640089e-05] [  3.60701765e-05] [  3.90640089e-05]
129 [  3.90163009e-05] [  3.60153179e-05] [  3.90163009e-05]
130 [  3.96424390e-05] [  3.64520367e-05] [  3.96424390e-05]
131 [  3.92734026e-05] [  3.61596483e-05] [  3.92734026e-05]
132 [  3.89087664e-05] [  3.58558449e-05] [  3.89087664e-05]
133 [  3.87937032e-05] [  3.57492845e-05] [  3.87937032e-05]
134 [  3.87397139e-05] [  3.56910720e-05] [  3.87397139e-05]
135 [  3.91082461e-05] [  3.59413094e-05] [  3.91082461e-05]
136 [  3.81476222e-05] [  3.51244856e-05] [  3.81476222e-05]
137 [  3.93369611e-05] [  3.61035463e-05] [  3.93369611e-05]
138 [  3.87039767e-05] [  3.55890415e-05] [  3.87039767e-05]
139 [  3.85088929e-05] [  3.54204553e-05] [  3.85088929e-05]
140 [  3.84291539e-05] [  3.53431708e-05] [  3.84291539e-05]
141 [  3.87843962e-05] [  3.56010529e-05] [  3.87843962e-05]
142 [  3.83068590e-05] [  3.52017054e-05] [  3.83068590e-05]
143 [  3.83032325e-05] [  3.51863785e-05] [  3.83032325e-05]
144 [  3.82642589e-05] [  3.51432434e-05] [  3.82642589e-05]
145 [  3.82175998e-05] [  3.50940870e-05] [  3.82175998e-05]
146 [  3.81956388e-05] [  3.50630904e-05] [  3.81956388e-05]
147 [  3.80123897e-05] [  3.48926646e-05] [  3.80123897e-05]
148 [  3.81695446e-05] [  3.50068374e-05] [  3.81695446e-05]
149 [  3.81560657e-05] [  3.49861635e-05] [  3.81560657e-05]
150 [  3.81031021e-05] [  3.49341688e-05] [  3.81031021e-05]
151 [  3.33048673e-05] [  3.33853683e-05] [  3.33048673e-05]
152 [  2.83991413e-05] [  3.14528582e-05] [  2.83991413e-05]
153 [  2.44611175e-05] [  3.00399835e-05] [  2.44611175e-05]
154 [  2.11916673e-05] [  2.89280171e-05] [  2.11916673e-05]
155 [  1.86006363e-05] [  2.81505576e-05] [  1.86006363e-05]
156 [  7.10677012e-06] [  2.07551879e-05] [  7.10677012e-06]
157 [ -1.40669753e-05] [  2.84856694e-06] [ -1.40669753e-05]
158 [  1.72778698e-05] [  2.86239242e-05] [  1.72778698e-05]
159 [  2.30335018e-05] [  3.40366621e-05] [  2.30335018e-05]
160 [  2.38028195e-05] [  3.52963565e-05] [  2.38028195e-05]
161 [  1.97733786e-05] [  3.26384770e-05] [  1.97733786e-05]
162 [  5.77473018e-07] [  1.66555740e-05] [  5.77473018e-07]
163 [  1.91143032e-05] [  3.18825090e-05] [  1.91143032e-05]
164 [  2.23289506e-05] [  3.49063067e-05] [  2.23289506e-05]
165 [  2.47012800e-05] [  3.69966040e-05] [  2.47012800e-05]
166 [  1.71195582e-05] [  3.10679778e-05] [  1.71195582e-05]
167 [  3.76113033e-06] [  1.96830794e-05] [  3.76113033e-06]
168 [  2.01669908e-05] [  3.30029415e-05] [  2.01669908e-05]
169 [  2.31974083e-05] [  3.56868041e-05] [  2.31974083e-05]
170 [  2.69809333e-05] [  3.86509828e-05] [  2.69809333e-05]
171 [  1.63379948e-05] [  3.00079223e-05] [  1.63379948e-05]
172 [  1.01733232e-05] [  2.45559716e-05] [  1.01733232e-05]
173 [  2.21071069e-05] [  3.42160179e-05] [  2.21071069e-05]
174 [  2.42730044e-05] [  3.61080194e-05] [  2.42730044e-05]
175 [  2.83934181e-05] [  3.92265031e-05] [  2.83934181e-05]
176 [  9.51859871e-06] [  2.34259784e-05] [  9.51859871e-06]
177 [  2.27086569e-05] [  3.40407288e-05] [  2.27086569e-05]
178 [  2.53250616e-05] [  3.62600488e-05] [  2.53250616e-05]
179 [  2.53445924e-05] [  3.63866452e-05] [  2.53445924e-05]
180 [  2.90631206e-05] [  3.91358040e-05] [  2.90631206e-05]
181 [  1.28003998e-05] [  2.55245460e-05] [  1.28003998e-05]
182 [  2.36649501e-05] [  3.42438738e-05] [  2.36649501e-05]
183 [  2.59241221e-05] [  3.61332873e-05] [  2.59241221e-05]
184 [  2.60509681e-05] [  3.63069154e-05] [  2.60509681e-05]
185 [  2.92937517e-05] [  3.86923970e-05] [  2.92937517e-05]
186 [  1.54992507e-05] [  2.71253226e-05] [  1.54992507e-05]
187 [  2.48920231e-05] [  3.46493268e-05] [  2.48920231e-05]
188 [  2.68979808e-05] [  3.63129793e-05] [  2.68979808e-05]
189 [  2.70602346e-05] [  3.64952521e-05] [  2.70602346e-05]
190 [  3.01424897e-05] [  3.87557425e-05] [  3.01424897e-05]
191 [  1.86301214e-05] [  2.91220101e-05] [  1.86301214e-05]
192 [  2.60707564e-05] [  3.50805770e-05] [  2.60707564e-05]
193 [  2.76890068e-05] [  3.64198046e-05] [  2.76890068e-05]
194 [  2.78488382e-05] [  3.65871156e-05] [  2.78488382e-05]
195 [  3.05955187e-05] [  3.85997064e-05] [  3.05955187e-05]
196 [  2.32565754e-05] [  3.25205864e-05] [  2.32565754e-05]
197 [  2.47604974e-05] [  3.35957365e-05] [  2.47604974e-05]
198 [  2.79279129e-05] [  3.61481986e-05] [  2.79279129e-05]
199 [  2.85521520e-05] [  3.66762827e-05] [  2.85521520e-05]
200 [  3.10747481e-05] [  3.85330492e-05] [  3.10747481e-05]
201 [  2.23947915e-05] [  2.96791347e-05] [  2.23947915e-05]
202 [  2.63049817e-05] [  3.13530934e-05] [  2.63049817e-05]
203 [  2.66353026e-05] [  3.03456915e-05] [  2.66353026e-05]
204 [  2.62438549e-05] [  2.89013690e-05] [  2.62438549e-05]
205 [  1.66285763e-05] [  2.08683588e-05] [  1.66285763e-05]
206 [  4.03090610e-05] [  3.97106541e-05] [  4.03090610e-05]
207 [  3.04475964e-06] [  7.63678914e-06] [  3.04475964e-06]
208 [  2.44320152e-05] [  2.38792356e-05] [  2.44320152e-05]
