DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
182   0.45116664926479705 0.22583857217890541 0.33221155483200732
183   0.45084329712751803 0.22573321847991998 0.33234268454690474
184   0.45022439300944228 0.22552111128937369 0.33246441870734589
185   0.44935077152781794 0.22521762598546899 0.33257301418466728
186   0.44827443131689265 0.22484876746784024 0.33266549160166048
187   0.44721029427303011 0.22448854966589302 0.33274085616872434
188   0.44543764913810918 0.22368634304220522 0.33279336948441957
189   0.44246044085183106 0.22189068911275334 0.33280550615765914
190   0.44125511154223207 0.22157216351508238 0.33278377942398085
191   0.4403603852025269 0.22155598864420503 0.33274942133936081
192   0.439474987041929 0.22153973593916892 0.33270598001466095
193   0.43852694391141134 0.22152077261746234 0.33265330652171948
194   0.43761535122975259 0.22157432323598758 0.33259179719951698
195   0.43503910455398892 0.22024161735530975 0.33250551246996923
196   0.43391913290209139 0.22010055614457341 0.3323928837044054
197   0.43307074540763763 0.22020085315030402 0.33227153010826044
198   0.43223051186543882 0.22029773718342918 0.33214441577671666
199   0.43152551600229244 0.22051059165248812 0.33201305556070404
200   0.43040722506445045 0.22039717031648484 0.33187479481080029
201   0.42831979302659501 0.21945703808126441 0.33171571937110295
202   0.42738170067846815 0.21944663118109015 0.33153790448557618
203   0.42665982406295744 0.21961841746237895 0.33135536317727171
204   0.42592942691077346 0.21978930429727517 0.3311703249728874
205   0.4252053476405071 0.21995463292986137 0.33098278672833747
206   0.42468513936850605 0.2202663675794059 0.33079477656731288
207   0.42274742439750773 0.21938245292666897 0.33059351458291625
208   0.42190726701488107 0.2193786037960879 0.33037585588681989
209   0.42128931766430933 0.21955475536923266 0.33015544842576294
210   0.42067906007777439 0.21973715702684268 0.32993467789101522
211   0.42007342175612478 0.21991336772532269 0.32971362256284314
212   0.41970344416196015 0.2202554075255285 0.32949458175327417
213   0.41809232897634174 0.21954971381549188 0.3292667016243796
214   0.41739036920033584 0.21956992000413497 0.32902659370917897
215   0.41687647882971296 0.21973967317044141 0.32878570314127398
216   0.4163729480761279 0.21991529243173091 0.32854605751693861
217   0.41587260728253611 0.2200846382286876 0.32830771030399741
218   0.41560678815507052 0.22041783803610904 0.32807293199297838
219   0.41428015719329664 0.2198554650481685 0.32783261932491553
220   0.41369926488258008 0.21988690664888103 0.32758347533715698
221   0.41327562225558545 0.22004195186027911 0.32733498641144604
222   0.41286340749729966 0.22020282182300624 0.32708885391973674
223   0.41245323381291504 0.22035763020708279 0.32684510947509599
224   0.41226220321901985 0.22066520260319591 0.32660586276422049
225   0.41117751044493395 0.22021855746783017 0.32636355269770717
226   0.41070081257253044 0.22025519941083446 0.32611513180105672
227   0.41035441181485316 0.22039349653032722 0.3258683966388623
228   0.41001958845740527 0.22053761279213702 0.3256247592124088
229   0.40968590596109278 0.22067601788970487 0.32538423222033269
230   0.40955146215241423 0.22095333327403385 0.32514872279145834
231   0.40867098709024102 0.22060145720742749 0.3249120065952113
232   0.40828235614976693 0.22064007817436487 0.32467132807281279
233   0.40800092488250722 0.22076191654022989 0.32443303380628025
234   0.40773054548834459 0.22088936646705931 0.32419828311200277
235   0.40746062862882665 0.2210115257950965 0.32396707172035594
236   0.40736909955913375 0.22125822519161936 0.32374109673603751
237   0.40665838164217222 0.22098318873647874 0.3235152692232513
238   0.40634330583750472 0.22102200459208263 0.3232871321207203
239   0.40611592302721305 0.2211286475787835 0.32306181332133022
240   0.40589894476587413 0.22124073074634615 0.32284025831097485
241   0.40568193319589413 0.22134796792657432 0.32262245113104171
242   0.40562346025853879 0.22156609779089775 0.32240989037893142
243   0.40500159415132142 0.22120735936316266 0.32219729875170766
244   0.40463527926538467 0.22095985134033796 0.32198023597039388
245   0.4042926148473272 0.22065076558222099 0.32176078879785136
246   0.40392701178749096 0.22025358504256179 0.32153817765160353
247   0.40356316551951027 0.21986239824620557 0.321311892513995
248   0.40257593923785423 0.21895765097337702 0.32107528834921434
249   0.40313928943443866 0.21929075505034151 0.32083855796343907
250   0.40126808231965366 0.21753689769873444 0.32059118433080935
251   0.40081102805109581 0.21687196939628781 0.32032181568899798
252   0.40067402234303295 0.21643148386570438 0.3200489927441611
253   0.40053530689610628 0.21599739648924124 0.31977604348770833
254   0.39977309551315299 0.21508968253600835 0.31949644112336928
255   0.39942992035278491 0.21447673910061177 0.31920815881352932
256   0.39942837329879072 0.21411640090191442 0.31891917577408596
257   0.39946359074197219 0.2137700371390121 0.31863331735347133
258   0.39946771478416004 0.21338713937413398 0.31835041021716759
259   0.39946825392698704 0.21300933314941464 0.31806999280492759
260   0.39885103145126721 0.2121725653274158 0.31778560241617304
261   0.3987690141694254 0.21175125768920283 0.31749666767333384
262   0.39878622962756138 0.2114012338813773 0.31720987949631679
263   0.39879780780577145 0.21104152551773328 0.31692609385842319
264   0.3987843300025789 0.21065887964761612 0.31664486437737582
265   0.39876752818902528 0.21028135704820339 0.31636585496090686
266   0.39814813495004814 0.20946456284257972 0.31608285024186672
267   0.39805061232169942 0.20905755863788167 0.31579536738643177
268   0.398091351077273 0.20875869965351665 0.31551039169877815
269   0.39814029478434593 0.20846608914210779 0.31522937767347675
270   0.39816982330057121 0.20815914346451317 0.31495211039641691
271   0.39819557337606643 0.20785577006160616 0.31467829564329913
272   0.39773504228630657 0.20720098820642049 0.31440291105281398
273   0.39846619552224921 0.207540985231805 0.31413394133507005
274   0.39777131630524137 0.2066976500058347 0.31386857698590664
275   0.39766434270813228 0.20632441217171404 0.31359786911471499
276   0.39769137887094119 0.20606099911076078 0.31332948156270501
277   0.39771480334461307 0.20580033829694466 0.31306475523268529
278   0.39735653372044821 0.20526843724508298 0.31279976528349657
