DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
231 [  3.12503418e-05] [  2.57152268e-05] [  3.12503418e-05]
232 [  2.29015418e-05] [  1.97111377e-05] [  2.29015418e-05]
233 [  4.43262481e-05] [  3.75985810e-05] [  4.43262481e-05]
234 [ -7.20895563e-07] [ -4.50440165e-07] [ -7.20895563e-07]
235 [  5.07203434e-05] [  4.17765387e-05] [  5.07203434e-05]
236 [  8.44398992e-06] [  6.32255830e-06] [  8.44398992e-06]
237 [ 0.00010174] [  8.50432283e-05] [ 0.00010174]
238 [  1.55017489e-06] [  2.98280935e-06] [  1.55017489e-06]
239 [  7.38579534e-05] [  6.36209461e-05] [  7.38579534e-05]
240 [ -1.90438019e-05] [ -1.35842762e-05] [ -1.90438019e-05]
241 [  2.23164573e-05] [  1.91830564e-05] [  2.23164573e-05]
242 [  3.27959372e-05] [  2.75674522e-05] [  3.27959372e-05]
243 [  3.51301963e-05] [  2.95133120e-05] [  3.51301963e-05]
244 [  3.53846068e-05] [  2.98098088e-05] [  3.53846068e-05]
245 [  3.51608937e-05] [  2.97223640e-05] [  3.51608937e-05]
246 [  3.48751914e-05] [  2.95805267e-05] [  3.48751914e-05]
247 [  3.46246544e-05] [  2.94617689e-05] [  3.46246544e-05]
248 [  3.44253165e-05] [  2.93793893e-05] [  3.44253165e-05]
249 [  3.42728259e-05] [  2.93304438e-05] [  3.42728259e-05]
250 [  3.41594424e-05] [  2.93092188e-05] [  3.41594424e-05]
251 [  3.40771810e-05] [  2.93096900e-05] [  3.40771810e-05]
252 [  3.40215504e-05] [  2.93286649e-05] [  3.40215504e-05]
253 [  3.39850660e-05] [  2.93603573e-05] [  3.39850660e-05]
254 [  3.39640396e-05] [  2.94020051e-05] [  3.39640396e-05]
255 [  3.39564444e-05] [  2.94522140e-05] [  3.39564444e-05]
256 [  3.39588222e-05] [  2.95083710e-05] [  3.39588222e-05]
257 [  3.39672938e-05] [  2.95674061e-05] [  3.39672938e-05]
258 [  3.39827873e-05] [  2.96302369e-05] [  3.39827873e-05]
259 [  3.40028719e-05] [  2.96950145e-05] [  3.40028719e-05]
260 [  3.40250946e-05] [  2.97597875e-05] [  3.40250946e-05]
261 [  3.40496144e-05] [  2.98247473e-05] [  3.40496144e-05]
262 [  3.40764969e-05] [  2.98900456e-05] [  3.40764969e-05]
263 [  3.41044303e-05] [  2.99546842e-05] [  3.41044303e-05]
264 [  3.41327867e-05] [  3.00182010e-05] [  3.41327867e-05]
265 [  3.27643722e-05] [  2.90582542e-05] [  3.27643722e-05]
266 [  3.62551328e-05] [  3.20039730e-05] [  3.62551328e-05]
267 [  3.30068837e-05] [  2.93580461e-05] [  3.30068837e-05]
268 [  3.49987974e-05] [  3.10309889e-05] [  3.49987974e-05]
269 [  3.11145621e-05] [  2.77592471e-05] [  3.11145621e-05]
270 [  3.61918218e-05] [  3.19565943e-05] [  3.61918218e-05]
271 [  3.47954309e-05] [  3.08770503e-05] [  3.47954309e-05]
272 [  3.44531272e-05] [  3.06293088e-05] [  3.44531272e-05]
273 [  3.43889590e-05] [  3.06008477e-05] [  3.43889590e-05]
274 [  3.43971159e-05] [  3.06291702e-05] [  3.43971159e-05]
275 [  3.44228988e-05] [  3.06710820e-05] [  3.44228988e-05]
276 [  3.44507023e-05] [  3.07141729e-05] [  3.44507023e-05]
277 [  3.44777706e-05] [  3.07562575e-05] [  3.44777706e-05]
278 [  3.45035200e-05] [  3.07968723e-05] [  3.45035200e-05]
279 [  3.45273602e-05] [  3.08355141e-05] [  3.45273602e-05]
280 [  3.45495647e-05] [  3.08723837e-05] [  3.45495647e-05]
281 [  3.45706192e-05] [  3.09078736e-05] [  3.45706192e-05]
282 [  3.45899157e-05] [  3.09414598e-05] [  3.45899157e-05]
283 [  3.46084978e-05] [  3.09739981e-05] [  3.46084978e-05]
284 [  3.46263697e-05] [  3.10055079e-05] [  3.46263697e-05]
285 [  3.46428169e-05] [  3.10353903e-05] [  3.46428169e-05]
286 [  3.46589920e-05] [  3.10646076e-05] [  3.46589920e-05]
287 [  3.46732445e-05] [  3.10917755e-05] [  3.46732445e-05]
288 [  3.46874242e-05] [  3.11184195e-05] [  3.46874242e-05]
289 [  3.47017805e-05] [  3.11447945e-05] [  3.47017805e-05]
290 [  3.47136802e-05] [  3.11686928e-05] [  3.47136802e-05]
291 [  3.47264567e-05] [  3.11928801e-05] [  3.47264567e-05]
292 [  3.47381347e-05] [  3.12157481e-05] [  3.47381347e-05]
293 [  3.47494315e-05] [  3.12378907e-05] [  3.47494315e-05]
294 [  3.47600851e-05] [  3.12590987e-05] [  3.47600851e-05]
295 [  3.47705242e-05] [  3.12797404e-05] [  3.47705242e-05]
296 [  3.47801400e-05] [  3.12993155e-05] [  3.47801400e-05]
297 [  3.47898840e-05] [  3.13186290e-05] [  3.47898840e-05]
298 [  3.48200669e-05] [  3.13524087e-05] [  3.48200669e-05]
299 [  3.47426934e-05] [  3.12999800e-05] [  3.47426934e-05]
300 [  3.49162845e-05] [  3.14577272e-05] [  3.49162845e-05]
301 [  3.45410628e-05] [  3.11524045e-05] [  3.45410628e-05]
302 [  3.53959486e-05] [  3.18820079e-05] [  3.53959486e-05]
303 [  3.49089168e-05] [  3.15081881e-05] [  3.49089168e-05]
304 [  3.41180724e-05] [  3.08454857e-05] [  3.41180724e-05]
305 [  3.53255522e-05] [  3.18522265e-05] [  3.53255522e-05]
306 [  3.48612080e-05] [  3.14903431e-05] [  3.48612080e-05]
307 [  3.43033694e-05] [  3.10213878e-05] [  3.43033694e-05]
308 [  3.52531488e-05] [  3.18138459e-05] [  3.52531488e-05]
309 [  3.48949471e-05] [  3.15358167e-05] [  3.48949471e-05]
310 [  3.48215099e-05] [  3.14826905e-05] [  3.48215099e-05]
311 [  3.48213605e-05] [  3.14875501e-05] [  3.48213605e-05]
312 [  3.48380050e-05] [  3.15057746e-05] [  3.48380050e-05]
313 [  3.48548464e-05] [  3.15241058e-05] [  3.48548464e-05]
314 [  3.48715763e-05] [  3.15423937e-05] [  3.48715763e-05]
315 [  3.48855495e-05] [  3.15584634e-05] [  3.48855495e-05]
316 [  3.48971745e-05] [  3.15726015e-05] [  3.48971745e-05]
317 [  3.49076338e-05] [  3.15857665e-05] [  3.49076338e-05]
318 [  3.49161109e-05] [  3.15972544e-05] [  3.49161109e-05]
319 [  3.49240206e-05] [  3.16082216e-05] [  3.49240206e-05]
320 [  3.49315863e-05] [  3.16188753e-05] [  3.49315863e-05]
321 [  3.49363208e-05] [  3.16271001e-05] [  3.49363208e-05]
322 [  3.49421676e-05] [  3.16361556e-05] [  3.49421676e-05]
323 [  3.49470019e-05] [  3.16443074e-05] [  3.49470019e-05]
324 [  3.49510318e-05] [  3.16517044e-05] [  3.49510318e-05]
325 [  3.49540930e-05] [  3.16581798e-05] [  3.49540930e-05]
326 [  3.49580237e-05] [  3.16652747e-05] [  3.49580237e-05]
327 [  3.49615228e-05] [  3.16719382e-05] [  3.49615228e-05]
328 [  3.49642843e-05] [  3.16779011e-05] [  3.49642843e-05]
329 [  3.49661377e-05] [  3.16829876e-05] [  3.49661377e-05]
330 [  3.49689336e-05] [  3.16887454e-05] [  3.49689336e-05]
331 [  3.49713556e-05] [  3.16941075e-05] [  3.49713556e-05]
332 [  3.50837507e-05] [  3.17793980e-05] [  3.50837507e-05]
333 [  3.47956970e-05] [  3.15434384e-05] [  3.47956970e-05]
334 [  3.54067899e-05] [  3.20637774e-05] [  3.54067899e-05]
335 [  3.49375798e-05] [  3.16916369e-05] [  3.49375798e-05]
336 [  3.47140614e-05] [  3.15043650e-05] [  3.47140614e-05]
337 [  3.52470181e-05] [  3.19535541e-05] [  3.52470181e-05]
338 [  3.47420533e-05] [  3.15409978e-05] [  3.47420533e-05]
339 [  3.48800670e-05] [  3.16516731e-05] [  3.48800670e-05]
340 [  3.49281315e-05] [  3.16914907e-05] [  3.49281315e-05]
341 [  3.49479375e-05] [  3.17089545e-05] [  3.49479375e-05]
342 [  3.49613569e-05] [  3.17214833e-05] [  3.49613569e-05]
343 [  3.49700765e-05] [  3.17302799e-05] [  3.49700765e-05]
344 [  3.49775620e-05] [  3.17381330e-05] [  3.49775620e-05]
345 [  3.49827445e-05] [  3.17441105e-05] [  3.49827445e-05]
346 [  3.49881898e-05] [  3.17503321e-05] [  3.49881898e-05]
347 [  3.49916617e-05] [  3.17549286e-05] [  3.49916617e-05]
348 [  3.49944267e-05] [  3.17589058e-05] [  3.49944267e-05]
349 [  3.49977164e-05] [  3.17633044e-05] [  3.49977164e-05]
350 [  3.50004036e-05] [  3.17672085e-05] [  3.50004036e-05]
351 [  3.50019671e-05] [  3.17701562e-05] [  3.50019671e-05]
352 [  3.50033276e-05] [  3.17728887e-05] [  3.50033276e-05]
353 [  3.50053981e-05] [  3.17761904e-05] [  3.50053981e-05]
354 [  3.50060350e-05] [  3.17782714e-05] [  3.50060350e-05]
355 [  3.50070362e-05] [  3.17806036e-05] [  3.50070362e-05]
356 [  3.50079985e-05] [  3.17828675e-05] [  3.50079985e-05]
