DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
237 [  2.79483874e-05] [  2.43719645e-05] [  2.79483874e-05]
238 [  3.33447157e-05] [  2.86900400e-05] [  3.33447157e-05]
239 [  3.35860928e-05] [  2.88815088e-05] [  3.35860928e-05]
240 [  3.35331834e-05] [  2.88453853e-05] [  3.35331834e-05]
241 [  3.34394518e-05] [  2.87815865e-05] [  3.34394518e-05]
242 [  3.33626876e-05] [  2.87353361e-05] [  3.33626876e-05]
243 [  3.33123526e-05] [  2.87136932e-05] [  3.33123526e-05]
244 [  3.32870123e-05] [  2.87151723e-05] [  3.32870123e-05]
245 [  2.97434215e-05] [  2.61614134e-05] [  2.97434215e-05]
246 [  3.37173068e-05] [  2.93559780e-05] [  3.37173068e-05]
247 [  3.38511694e-05] [  2.94713650e-05] [  3.38511694e-05]
248 [  3.38338018e-05] [  2.94703073e-05] [  3.38338018e-05]
249 [  3.37947249e-05] [  2.94547796e-05] [  3.37947249e-05]
250 [  3.37650270e-05] [  2.94490403e-05] [  3.37650270e-05]
251 [  3.37513121e-05] [  2.94581354e-05] [  3.37513121e-05]
252 [  3.14575951e-05] [  2.78113403e-05] [  3.14575951e-05]
253 [  3.44407058e-05] [  3.02403033e-05] [  3.44407058e-05]
254 [  3.40787973e-05] [  2.99625428e-05] [  3.40787973e-05]
255 [  3.39832617e-05] [  2.98975739e-05] [  3.39832617e-05]
256 [  3.39638520e-05] [  2.98948707e-05] [  3.39638520e-05]
257 [  3.39715770e-05] [  2.99155996e-05] [  3.39715770e-05]
