DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
283   [[ 0.          0.00367219]]
284   [[ 0.          0.00370554]]
285   [[ 0.          0.00373863]]
286   [[ 0.          0.00377146]]
287   [[ 0.          0.00380402]]
288   [[ 0.          0.00383632]]
289   [[ 0.          0.00386836]]
290   [[ 0.          0.00390013]]
291   [[ 0.          0.00393164]]
292   [[ 0.          0.00396289]]
293   [[ 0.          0.00399388]]
294   [[ 0.         0.0040246]]
295   [[ 0.          0.00405507]]
296   [[ 0.          0.00408527]]
297   [[ 0.          0.00411522]]
298   [[ 0.          0.00414491]]
299   [[ 0.          0.00417434]]
300   [[ 0.          0.00420351]]
301   [[ 0.          0.00423241]]
302   [[ 0.          0.00426341]]
303   [[ 0.          0.00428948]]
304   [[ 0.          0.00431715]]
305   [[ 0.          0.00434502]]
306   [[ 0.          0.00437274]]
307   [[ 0.          0.00440023]]
308   [[ 0.          0.00442745]]
309   [[ 0.          0.00445442]]
310   [[ 0.          0.00448113]]
311   [[ 0.          0.00450758]]
312   [[ 0.          0.00453563]]
313   [[ 0.          0.00455975]]
314   [[ 0.          0.00458507]]
315   [[ 0.          0.00461052]]
316   [[ 0.         0.0046358]]
317   [[ 0.          0.00466086]]
318   [[ 0.          0.00468567]]
319   [[ 0.          0.00471024]]
320   [[ 0.          0.00473456]]
321   [[ 0.          0.00475864]]
322   [[ 0.          0.00478409]]
323   [[ 0.          0.00480612]]
324   [[ 0.          0.00482917]]
325   [[ 0.          0.00485232]]
326   [[ 0.         0.0048753]]
327   [[ 0.          0.00489808]]
328   [[ 0.          0.00492062]]
329   [[ 0.          0.00494294]]
330   [[ 0.          0.00496504]]
331   [[ 0.          0.00498691]]
332   [[ 0.          0.00500857]]
333   [[ 0.          0.00503001]]
334   [[ 0.          0.00505124]]
335   [[ 0.          0.00507226]]
336   [[ 0.          0.00509307]]
337   [[ 0.          0.00511367]]
338   [[ 0.          0.00513407]]
339   [[ 0.          0.00515427]]
340   [[ 0.          0.00517427]]
341   [[ 0.          0.00519408]]
342   [[ 0.          0.00521368]]
343   [[ 0.          0.00522523]]
344   [[ 0.          0.00572062]]
345   [[ 0.          0.00570539]]
346   [[ 0.          0.00559042]]
347   [[ 0.          0.00547591]]
348   [[ 0.          0.00538223]]
349   [[ 0.          0.00530926]]
350   [[ 0.          0.00547358]]
351   [[ 0.          0.00504765]]
352   [[ 0.          0.00555599]]
353   [[ 0.          0.01449224]]
354   [[ 0.          0.01472827]]
355   [[ 0.          0.01446111]]
356   [[ 0.          0.01410431]]
357   [[ 0.          0.01375855]]
358   [[ 0.          0.01344425]]
359   [[ 0.          0.01316201]]
360   [[ 0.          0.01290804]]
361   [[ 0.         0.0126781]]
362   [[ 0.          0.01246837]]
363   [[ 0.          0.01227561]]
364   [[ 0.          0.01209706]]
365   [[ 0.          0.01193045]]
366   [[ 0.          0.01177388]]
367   [[ 0.          0.01162575]]
368   [[ 0.          0.01148475]]
369   [[ 0.          0.01134976]]
370   [[ 0.          0.01121987]]
371   [[ 0.          0.01109431]]
372   [[ 0.          0.01097244]]
373   [[ 0.          0.01085372]]
374   [[ 0.          0.01073773]]
375   [[ 0.          0.01062407]]
376   [[ 0.          0.01051246]]
377   [[ 0.          0.01040262]]
378   [[ 0.          0.01029435]]
379   [[ 0.          0.01018747]]
380   [[ 0.          0.01008184]]
381   [[ 0.          0.00997732]]
382   [[ 0.          0.00987383]]
383   [[ 0.          0.00977128]]
384   [[ 0.          0.00966959]]
385   [[ 0.          0.00956873]]
386   [[ 0.          0.00946863]]
387   [[ 0.          0.00936927]]
388   [[ 0.          0.00927062]]
389   [[ 0.          0.00917265]]
390   [[ 0.          0.00907534]]
391   [[ 0.          0.00897869]]
392   [[ 0.          0.00888268]]
393   [[ 0.         0.0087873]]
394   [[ 0.          0.00869256]]
395   [[ 0.          0.00859844]]
396   [[ 0.          0.00850495]]
397   [[ 0.          0.00841208]]
398   [[ 0.          0.00831984]]
399   [[ 0.          0.00822824]]
400   [[ 0.          0.00813727]]
401   [[ 0.          0.00804693]]
402   [[ 0.          0.00795724]]
403   [[ 0.          0.00785869]]
404   [[ 0.          0.00775185]]
405   [[ 0.          0.00763841]]
406   [[ 0.          0.00752007]]
407   [[ 0.          0.00739832]]
408   [[ 0.          0.00727439]]
409   [[ 0.         0.0071493]]
410   [[ 0.          0.00702385]]
411   [[ 0.          0.00689873]]
412   [[ 0.          0.00677448]]
413   [[ 0.          0.00665152]]
414   [[ 0.         0.0065302]]
415   [[ 0.          0.00641078]]
416   [[ 0.          0.00629349]]
417   [[ 0.          0.00617847]]
418   [[ 0.          0.00606585]]
419   [[ 0.          0.00595572]]
420   [[ 0.          0.00584812]]
421   [[ 0.          0.00574309]]
422   [[ 0.          0.00564064]]
423   [[ 0.          0.00554071]]
424   [[ 0.          0.00545667]]
425   [[ 0.          0.00534854]]
426   [[ 0.          0.00525351]]
427   [[ 0.         0.0051636]]
428   [[ 0.          0.00507669]]
429   [[ 0.         0.0049922]]
430   [[ 0.          0.00490996]]
431   [[ 0.          0.00482989]]
432   [[ 0.          0.00475195]]
433   [[ 0.          0.00467607]]
434   [[ 0.          0.00460222]]
435   [[ 0.          0.00453033]]
436   [[ 0.          0.00446035]]
437   [[ 0.          0.00439224]]
438   [[ 0.          0.00432592]]
439   [[ 0.          0.00426134]]
440   [[ 0.          0.00419846]]
441   [[ 0.         0.0041372]]
442   [[ 0.          0.00407751]]
443   [[ 0.          0.00401935]]
444   [[ 0.          0.00396266]]
445   [[ 0.          0.00390559]]
446   [[ 0.          0.00385349]]
447   [[ 0.          0.00379616]]
448   [[ 0.          0.00374997]]
449   [[ 0.          0.00374783]]
450   [[ 0.         0.0037593]]
451   [[ 0.          0.00359518]]
452   [[ 0.          0.00390327]]
453   [[ 0.          0.00291102]]
454   [[ 0.          0.00546478]]
455   [[ 0.         -0.00168948]]
456   [[ 0.         0.0059193]]
457   [[ 0.         -0.00139762]]
458   [[ 0.          0.00620526]]
459   [[ 0.         -0.00112675]]
460   [[ 0.          0.00645746]]
461   [[ 0.         -0.00089536]]
462   [[ 0.          0.00666476]]
463   [[ 0.         -0.00071301]]
464   [[ 0.          0.00681925]]
465   [[ 0.         -0.00058716]]
466   [[ 0.          0.00691391]]
467   [[ 0.         -0.00052725]]
468   [[ 0.          0.00693703]]
469   [[ 0.         -0.00054237]]
