DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
125 [  3.63736175e-05] [  3.42844932e-05] [  3.63736175e-05]
126 [  4.32841728e-05] [  4.00589991e-05] [  4.32841728e-05]
127 [  3.39198574e-05] [  3.22435721e-05] [  3.39198574e-05]
128 [  3.80524374e-05] [  3.54825720e-05] [  3.80524374e-05]
129 [  3.90856534e-05] [  3.62745032e-05] [  3.90856534e-05]
130 [  3.93037370e-05] [  3.64228712e-05] [  3.93037370e-05]
131 [  3.93085201e-05] [  3.64030132e-05] [  3.93085201e-05]
132 [  3.92569616e-05] [  3.63388540e-05] [  3.92569616e-05]
133 [  3.91922202e-05] [  3.62645572e-05] [  3.91922202e-05]
134 [  3.91250091e-05] [  3.61886124e-05] [  3.91250091e-05]
135 [  3.90579012e-05] [  3.61130503e-05] [  3.90579012e-05]
136 [  3.89920435e-05] [  3.60387928e-05] [  3.89920435e-05]
137 [  3.89289053e-05] [  3.59670916e-05] [  3.89289053e-05]
138 [  3.88670484e-05] [  3.58967779e-05] [  3.88670484e-05]
139 [  3.88071720e-05] [  3.58284338e-05] [  3.88071720e-05]
140 [  3.87497530e-05] [  3.57624864e-05] [  3.87497530e-05]
141 [  3.86933053e-05] [  3.56977015e-05] [  3.86933053e-05]
